Date;Stock;Open;High;Low;Close;Resist;Support;GSLine;Trend
2020/07/14;KBLM;228,00;230,00;228,00;230,00;230,00;222,00;U;Strong Downtrend
2020/07/14;KBLV;330,00;360,00;330,00;350,00;410,00;340,00;D;Downtrend
2020/07/14;KBRI;50,00;50,00;50,00;50,00;50,00;50,00;N;Strong Uptrend
2020/07/14;KDSI;910,00;910,00;855,00;855,00;945,00;850,00;D;Strong Uptrend
2020/07/14;KEEN;330,00;340,00;320,00;340,00;330,00;320,00;U;Strong Uptrend
2020/07/14;KEJU;1020,00;1040,00;1000,00;1035,00;980,00;900,00;U;Strong Uptrend
2020/07/14;KIAS;50,00;50,00;50,00;50,00;50,00;50,00;U;Strong Uptrend
2020/07/14;KICI;218,00;218,00;218,00;218,00;228,00;200,00;U;Uptrend
2020/07/14;KIJA;147,00;147,00;143,00;146,00;146,00;140,00;U;Strong Uptrend
2020/07/14;KINO;3270,00;3360,00;3270,00;3290,00;3660,00;3200,00;D;Uptrend
2020/07/14;KIOS;188,00;188,00;188,00;188,00;224,00;187,00;D;Downtrend
2020/07/14;KJEN;1100,00;1100,00;1100,00;1100,00;1100,00;1100,00;U;Strong Downtrend
2020/07/14;KKGI;204,00;208,00;192,00;198,00;212,00;188,00;D;Downtrend
2020/07/14;KLBF;1460,00;1510,00;1460,00;1505,00;1540,00;1430,00;D;Strong Uptrend
2020/07/14;KMTR;250,00;274,00;250,00;274,00;238,00;230,00;U;Uptrend
2020/07/14;KOBX;92,00;94,00;91,00;92,00;107,00;90,00;U;Strong Uptrend
2020/07/14;KOIN;100,00;100,00;100,00;100,00;100,00;100,00;U;Neutral
2020/07/14;KONI;496,00;496,00;492,00;492,00;550,00;550,00;D;Uptrend
2020/07/14;KOPI;515,00;515,00;510,00;510,00;510,00;490,00;U;Strong Downtrend
2020/07/14;KOTA;630,00;650,00;625,00;645,00;645,00;635,00;D;Strong Uptrend
2020/07/14;KPAL;65,00;70,00;65,00;68,00;72,00;63,00;D;Strong Downtrend
2020/07/14;KPAS;50,00;50,00;50,00;50,00;50,00;50,00;D;Strong Downtrend
2020/07/14;KPIG;111,00;112,00;108,00;110,00;112,00;111,00;D;Strong Downtrend
2020/07/14;KRAH;438,00;438,00;438,00;438,00;438,00;438,00;D;Strong Downtrend
